giftid,GiftDate,DonationAmount,gifttype,id
123,10/10/2021,103.29,Credit,7d08522461a8705dd736336307584187
127,10/19/2021,208.67,Credit,eac478d5f60cf46fa79521c11f1d03c1
128,10/19/2021,103.29,Credit,079c6c8e13b3b78798ea80ea94c92db8
6016,5/5/2020,500,Other,51cd4390dfc5805ddcd35d77b17e339f
6016,5/5/2020,500,Other,51cd4390dfc5805ddcd35d77b17e339f
6026,5/13/2020,258.5,EFT,354b1e6fa6883b481a448a9b5abebd75
6027,5/13/2020,51.7,EFT,e104007c4dadf226784e2b2a7d7c71a4
6031,5/1/2020,50,Other,6145716709b6160d053fa520411e6c51
6034,5/5/2020,10,Other,3f7f4ffdac51a067fbe5595e5546dbff
6038,2/27/2021,25.85,EFT,54926f4459fd58ed9eab04fa6ae010c3
6041,5/1/2020,25,Other,459965a8dcf5d53dd19038bd5a2d7689
6042,5/1/2020,100,Other,70071c232bc76b24e8a991fdf3a9d027
6194,5/5/2020,50,Other,9f1ffc796c8c4e4fcb88f47d86e49a22
6195,2/27/2021,103.4,EFT,420139616915089711aed5e1f1498446
6196,2/27/2021,25.85,EFT,a8056dedf596dee2474a2676fb3d6a8e
6202,5/5/2020,100,Other,efbf1c947facba30196d30bc8414ec88
6212,5/5/2020,50,Other,80e2ab260c7ec71bc3f75650970a8915
6217,5/2/2020,250,Other,6eea8de2532767a7227bc303d76d70c2
6220,5/2/2020,100,Other,4387079a2d0c168083b727b59379f26f
6224,5/2/2020,100,Other,d54660d04d71aab477df1b0d23ab910d
6228,5/2/2020,10,Other,54fc6d4d7395dd2cf558dc1de77d287a
9006,8/24/2021,4,Credit,4f6e29339fb599965d48d48248ac436d
9010,1/28/2021,103.4,Credit,b4334a1e14b7d82e1959ba63c2e0332b
9014,8/24/2021,25.85,Credit,13ad611da4be7f22bada799499bc7098
9015,8/24/2021,5.17,Credit,5c683f9be54ec3691d842b1a102e3afc
9018,8/24/2021,15.51,Credit,b008f18787bfe39f6a750350b4c0a0b5
9021,8/24/2021,517,Credit,e86afffcd2b4900aa048c921876f35c1
9022,1/28/2021,62.04,Credit,297673d41d86353aac207e9269fca797
9023,1/28/2021,20.68,Credit,8895c3ffc78546efdcad9d896465601a
9028,8/24/2021,25.85,Credit,32a119b079574ccc2b64301abb48c5a1
9029,8/24/2021,25.85,Credit,32a119b079574ccc2b64301abb48c5a1
9031,1/28/2021,103.4,Credit,3b4d0de006bf60ebdf472de1bedec5b7
9032,8/25/2021,103.4,Credit,1b0699dc5ff3e50d03119075b91b4438
9033,8/25/2021,10.34,Credit,95539de8a6f5ca5dfbc624ad40e63b0b
9041,1/29/2021,20.68,Credit,4012a5cc7ae40ce076426ffe1030a776
9042,1/29/2021,15.51,Credit,43f6bcae390ed3bf9cb9a2d96603672c
9043,1/29/2021,63,Credit,1020cfe82d66acb2d29f9bdcd314c8d5
9044,1/29/2021,103.4,Credit,8862c7237f72580a25b1a9a5d93e1bd9
9046,1/29/2021,103.4,Credit,cf229fabf6f57ca2683f1b7db30e13bb
9192,2/6/2021,10.34,Credit,3e68d972a2d78b0796022381c0f5b5d8
9192,2/6/2021,10.34,Credit,3e68d972a2d78b0796022381c0f5b5d8
9194,9/6/2021,10.34,Credit,3e68d972a2d78b0796022381c0f5b5d8
9194,9/6/2021,10.34,Credit,3e68d972a2d78b0796022381c0f5b5d8
9197,2/6/2021,13,Credit,ed27ee35f2febd909126b641a9ada934
9197,2/6/2021,13,Credit,ed27ee35f2febd909126b641a9ada934
9198,9/6/2021,13,Credit,ed27ee35f2febd909126b641a9ada934
9198,9/6/2021,13,Credit,ed27ee35f2febd909126b641a9ada934
9200,2/6/2021,248.16,Credit,883afdbfa7142888ef673d67f9bd6e31
9205,2/6/2021,500,Credit,dcd6870ba83c5df3d94ccacf3a98d1cc
9219,2/8/2021,50,Credit,35567026c518bdb40dca31bf2a7bb4b1
9220,2/8/2021,100,Credit,acafe69f5b9114a6e49b2041b65d7e22
9220,2/8/2021,100,Credit,acafe69f5b9114a6e49b2041b65d7e22
9222,2/8/2021,103.4,Credit,94f28c67129f19a3b3bf68f621f1cf2c
9226,9/9/2021,51.7,Credit,4e89b1bd0d920c92331c06ffbaa6427a
9235,2/8/2021,51.7,Credit,354ea2a554281e0cd02df98b0dec7e00
12059,5/22/2020,517,Credit,ed27ee35f2febd909126b641a9ada934
12059,5/22/2020,517,Credit,ed27ee35f2febd909126b641a9ada934
12063,5/23/2020,103.4,Credit,6538870faae03cfef3d9d57040633f93
12073,5/23/2020,103.4,Credit,053580c93855daae313cf15619f86fde
12077,5/24/2020,100,Credit,430c60f1ccdadeed4d60e8c43edd0ed9
12089,5/25/2020,103.4,Credit,5db6e7f3fe17052d423f7b62dff075db
30,9/1/2021,20.9,Credit,c53fc627e2dccab2344dda01bf5690db
38,9/3/2021,51.8,Credit,3c7c43edcc31fe4c4527dea0387b3caa
41,9/4/2021,10.6,Credit,d09a7a8aecaabbee2552834b75f128d8
46,9/7/2021,26.06,Credit,1a80b30847cc3cbe5024e336a55b33ff
51,9/17/2021,26.06,Credit,b1f2eec5f813b4e3f0bd52db94f49d29
54,9/22/2021,5.46,Credit,a5205f1c5cbe9cce6bf740610a468873
140,11/1/2021,200,Credit,b4eb8d1743aaba4d8e6451b049e8742f
149,11/1/2021,103.29,Credit,bf9f269664b0f600e16c2e1184cefb5c
152,11/1/2021,51.8,Credit,ea4826148a5798070d09a03fa1e8f465
157,11/1/2021,25,Credit,ca3494f646a35042ceafefd22257d947
158,11/1/2021,103.29,Credit,6e86b93820a8fb4421a1113a55f36eef
202,8/26/2020,103.4,EFT,0f988ac8bfb7cb31c7d4cbd88afc1ec6
204,12/21/2020,206.8,EFT,2f9f481415ce3be7180ed7c76aa78619
214,9/1/2020,36.19,EFT,bd3306bc469c66c6cf6755bc4e2ec740
218,9/2/2020,51.7,EFT,781618f58fa22f8b42040cbc16b4ea55
222,9/2/2020,36.19,EFT,e24d24618a31b45144481e32d4ca9184
229,9/5/2020,62.04,EFT,5fa1fd2b856b9dca4c28ce7dcbe2a427
239,9/8/2020,25,EFT,c3c96bc96462652782176ec3ccb67325
240,9/8/2020,258.5,EFT,542e64abbc0fd0647ce56fac4d286cc6
242,9/10/2020,25,EFT,cecfb4a01bfbfda2a9a0fd04f99ed4b7
243,9/10/2020,100,EFT,1c0758cb2229cb71506f409d16d04e18
244,9/10/2020,20,EFT,50fdb1eaaddb7bf97f6a8a792623ba5a
3032,3/19/2021,100,Credit,92863edf829cbff6b2cc5d2559cd0aa1
3032,3/19/2021,100,Credit,92863edf829cbff6b2cc5d2559cd0aa1
3036,8/25/2020,20.68,Credit,4cd1f3a7b7af6ee729f3c1360f596bce
3036,8/25/2020,20.68,Credit,4cd1f3a7b7af6ee729f3c1360f596bce
3037,12/1/2020,258.5,Credit,aee3639318e0001f7c6a9f4b182d1d98
3037,12/1/2020,258.5,Credit,aee3639318e0001f7c6a9f4b182d1d98
3042,12/1/2020,50,Credit,9a9b3858d2d87c7d68d695b92b971063
3045,8/25/2020,32,Credit,b90e0812fbe2de2df0b4a50cb7821a02
3045,8/25/2020,32,Credit,b90e0812fbe2de2df0b4a50cb7821a02
3049,11/23/2020,103.4,Credit,d9280c7583e9f6820cd5c9173255569b
3054,12/1/2020,1.03,Credit,c9be613f0ff21184b3eba5d396bc5869
3054,12/1/2020,1.03,Credit,c9be613f0ff21184b3eba5d396bc5869
3054,12/1/2020,1.03,Credit,c9be613f0ff21184b3eba5d396bc5869
3056,12/1/2020,20.68,Credit,d12aa0f506010b24130693db349475f5
3057,12/1/2020,103.4,Credit,9125de7c375b152f8e04e475ccff906e
3061,11/23/2020,103.4,Credit,b31447cec69a4eb821f029cf2c067b0c
3068,11/23/2020,50,Credit,55f9cf4cb45cfb397c2152795bac7656
3156,12/2/2020,103.4,Credit,355bc142651e7ff59afe972292d322bf
3156,12/2/2020,103.4,Credit,355bc142651e7ff59afe972292d322bf
3160,12/2/2020,25,Credit,2408d08e82228c6400e15b0c906597ac
3160,12/2/2020,25,Credit,2408d08e82228c6400e15b0c906597ac
3163,11/23/2020,51.7,Credit,a75ffc4d1f30132377d638160b53a785
3164,11/23/2020,103.4,Credit,d2e23ab0f21c7c820859026f7edc2a49
3165,12/2/2020,100,Credit,845316dc9e1ed77a70d7afa6cedd102a
3166,12/2/2020,51.7,Credit,34fe0affe3cb4fd9587dba8655eca276
3168,11/23/2020,258.5,Credit,919f8736eb4555780b7555efceddf6f8
3171,12/2/2020,51.7,Credit,5536f88fdcbda6b1d03540a43c58d13e
3173,12/2/2020,10,Credit,989c2b8a0e7902988271a9fd9da96e4b
3177,11/23/2020,1034.01,Credit,8c8233ee3d1bd9393b24850110fa3f2f
3180,11/23/2020,10.34,Credit,e7d15ef527593cb6c8b99007a5c5ee8e
3185,12/25/2020,32,Credit,b90e0812fbe2de2df0b4a50cb7821a02
3185,12/25/2020,32,Credit,b90e0812fbe2de2df0b4a50cb7821a02
3192,11/23/2020,206.8,Credit,e78695c8654595390299ff3d7a70d093
3194,12/25/2020,10.34,Credit,edc4c7bf4d91d8452989d2ff695a0355
3197,12/3/2020,13,Credit,d5ea94cb6e572d274bd2b95c30f22516
5973,4/30/2020,25,Other,a461fa941a9b8e6688807ad4629816a5
3269,12/3/2020,155.1,Credit,b03d82c49aa8ad5dfc466b1fb0066bae
3276,11/23/2020,50,Credit,8834564f1c677871c99109e6e2926d22
3278,11/23/2020,25.85,Credit,6960283825d056704028193fc6e8ff65
5921,4/28/2020,500,Other,7244ab4036d24fd2560de91a281485ac
5921,4/28/2020,500,Other,7244ab4036d24fd2560de91a281485ac
5922,5/5/2020,25,Other,ca6604a649386f651aff0354747750bb
5923,5/5/2020,50,Other,4781b540d31fecf6cab410fb87134075
6064,5/5/2020,50,Other,6593d1e543f5ca0f35af95058970c4dd
6066,5/1/2020,100,Other,24d6b8b63b23e1611898c2780fec439b
6067,5/1/2020,25,Other,e091f076300e984a6e7b4fce1a6249af
6079,5/2/2020,50,Other,b7fd5ca35a54977f372b81850b435986
6080,2/27/2021,103.4,EFT,c2dbf7feb0632fce763eacd1d18b43aa
6082,5/2/2020,25,Other,3c2f614c8f5d585f22e23bf7d600f80c
6083,5/2/2020,200,Other,8db602160ac45f617d1dc80d77982c95
6084,5/2/2020,25,Other,50ea8a275dbdeb7d4a7d76df2e9de1c0
6090,2/27/2021,25.85,EFT,f44f9f53d253ac948ea10e4a08cca3bc
6094,5/2/2020,20,Other,0d88a63fb44d5a477edaf5112e0bf0f4
6097,2/27/2021,51.7,EFT,233a35b60fa7b1b45f8311f0d8a70157
6239,5/2/2020,50,Other,00807bfe5ad56b4d3a74e6643731a753
6242,2/28/2021,103.4,EFT,facfa6627e43991bc9491babc65a9784
6245,2/28/2021,258.5,EFT,933995076d3e31307f85223e85e5ff46
6256,5/5/2020,50,Other,5004dbd0bc0a805f5cebf947eaf161e2
6263,5/2/2020,100,Other,278a012adbaf2c45570a7dce25d61287
6268,5/5/2020,25,Other,15d52efdbdd9aa6aa12d88713845b3f8
6271,5/2/2020,50,Other,c2ae6c5219ffefd0f14f26e314dee1c5
6279,5/5/2020,100,Other,36c16f13b974b169c0b1357d4cdf27b6
9052,8/25/2021,1551.02,Credit,9f0b1b97a81b1b90318ab79ddeb4bd55
9061,8/26/2021,15,Credit,03a9db4e0c499d0967d9d4f66beb9552
9069,8/26/2021,25,Credit,de28c272a2d25f8f91fa5cda2de123ca
9073,8/26/2021,51.7,Credit,0163fc8c0f10af0872d0105e89030127
9074,8/26/2021,63,Credit,07eec0e77b1173824f45c7d4ad48ddb3
9075,8/26/2021,186.12,Credit,e9cee3b5062bd5fd181d29424980e3e6
9079,8/27/2021,20.68,Credit,9b831b285bee3293b16483462900a377
9083,1/30/2021,16,Credit,96f6dd7813b8301d89dea6ecf80c5680
9085,1/30/2021,10,Credit,7ee73cf9b1e6e08881fb0d7070f158d6
9086,1/30/2021,103.4,Credit,c2bdb00cbb6012a75b091424d10ebbf2
9087,1/30/2021,15.51,Credit,51b1555c107ed02df16c574d43c27916
9089,8/28/2021,41.36,Credit,00fb9ccf936d80d19651eae3f131965f
9089,8/28/2021,41.36,Credit,00fb9ccf936d80d19651eae3f131965f
9093,8/28/2021,103.4,Credit,c2bdb00cbb6012a75b091424d10ebbf2
9096,1/30/2021,1034.01,Credit,cffd6eece161922a1b530250907d84bc
9249,9/11/2021,63,Credit,fcfaa4561309232d57c8b37116cf8305
9249,9/11/2021,63,Credit,fcfaa4561309232d57c8b37116cf8305
9251,2/8/2021,31.02,Credit,aedc60505bc1c24dbe4c36f51bf7f2d6
9254,9/12/2021,50,Credit,200281b03b6058b6eff6e2c5675c2a23
9259,9/13/2021,15,Credit,8a78ae74e3d4a8ac59d26d3aadc1a944
9263,2/9/2021,51.7,Credit,ef67562dbdff64618347187610a8dcee
9265,2/9/2021,51.7,Credit,9cd4be16d193f09993e6c0bb812b721e
9266,2/9/2021,15,Credit,2f4412d3b47a9d263a89f8ee104d6ca9
9272,9/13/2021,63,Credit,df5e2727b10b0168417d2e4c56d35bd6
